Commit,File,Scope
https://github.com/alacritty/alacritty/commit/4e1f4c8cd7180606156b71ad0222f60e4559f2b3,mod.rs,5-Impl
https://github.com/alacritty/alacritty/commit/4e1f4c8cd7180606156b71ad0222f60e4559f2b3,mod.rs,7-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/10d99bdd8b0424dfdeaaa8545bab99fdef92282e,folder_deps.rs,0-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/1744938a515872d446e28807d278327fe01448fb,ws.rs,1-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,module.rs,0-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,workspace_deps.rs,1-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,module.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,helper.rs,5-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,helper.rs,4-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,app_controller.rs,0-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,byte_trait.rs,2-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,file.rs,1-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,document.rs,0-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,preserve_block_format.rs,0-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,app_update.rs,1-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/5cf47e9f558f5f9fb8e22253fdf31fc89c423976,mod.rs,0-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/6b7557314c9010f94200ff849c3e607d681c10a8,helper.rs,1-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/739333c29c088c1b2c6c346629d4422bcc571dc8,mod.rs,0-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/739333c29c088c1b2c6c346629d4422bcc571dc8,auth.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/739333c29c088c1b2c6c346629d4422bcc571dc8,router.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/d1b7fd29a6ad1108534969b59ac812981e3ce6eb,module.rs,0-Fn
https://github.com/meilisearch/meilisearch/commit/07319713006587cef28ab9503efcba64756ca413,meilisearch.rs,0-Fn
https://github.com/meilisearch/meilisearch/commit/27b3b53bc5e4a25492829afd553f2f980712324b,settings.rs,0-Fn
https://github.com/meilisearch/meilisearch/commit/4986adc186b9db00a2a4fd2dec6fbbcce2335e93,index.rs,3-Fn
https://github.com/meilisearch/meilisearch/commit/85d0a914ac405520f4477ee901ca820fcae974e4,common.rs,0-Impl
