Commit,File,Scope
https://github.com/alacritty/alacritty/commit/4b3e7da0fcef7b876c8fdd015d321d06e5f64e63,mod.rs,13-Impl
https://github.com/denoland/deno/commit/23efc4fcab2ca3b8b47539a7fb1d904efc57eb7c,execution.rs,0-Fn
https://github.com/denoland/deno/commit/9ef0b18eb0b4c337ccfc8d0add36bec6b657262f,lib.rs,0-Fn
https://github.com/SergioBenitez/Rocket/commit/5d9035ddc1346c43ae1b1038500e548ef46d61d4,response.rs,3-Impl
https://github.com/swc-project/swc/commit/eebf14fbef1be34c98db736ad549b1f11d5d8a98,tests.rs,1-Fn
https://github.com/swc-project/swc/commit/eebf14fbef1be34c98db736ad549b1f11d5d8a98,golden.rs,2-Fn
https://github.com/swc-project/swc/commit/eebf14fbef1be34c98db736ad549b1f11d5d8a98,tests.rs,0-Fn
https://github.com/swc-project/swc/commit/eebf14fbef1be34c98db736ad549b1f11d5d8a98,jsx.rs,4-Fn
https://github.com/swc-project/swc/commit/eebf14fbef1be34c98db736ad549b1f11d5d8a98,mod.rs,3-Fn
https://github.com/xi-editor/xi-editor/commit/f51e6400c2e1431685a61d37fa4d177703c7b58d,tabs.rs,4-Impl
https://github.com/yewstack/yew/commit/efce1ad08746c11e1a944de9127e05c14b04ed7a,lib.rs,0-Impl
