Commit,File,Scope
https://github.com/alacritty/alacritty/commit/5f7885749c4d7e48869b1fc0be4d430601cdbbfa,x11.rs,6-Impl
https://github.com/alacritty/alacritty/commit/5f7885749c4d7e48869b1fc0be4d430601cdbbfa,display.rs,6-Impl
https://github.com/alacritty/alacritty/commit/5f7885749c4d7e48869b1fc0be4d430601cdbbfa,grid.rs,13-Impl
https://github.com/alacritty/alacritty/commit/5f7885749c4d7e48869b1fc0be4d430601cdbbfa,mod.rs,4-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/3abd5b953e9cbde32ebdd11a3137cdf96f40ee96,workspace.rs,3-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/3d0036a9268dbcee870cfe1546231d90b1e44515,util.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/6b7557314c9010f94200ff849c3e607d681c10a8,auth_middleware.rs,1-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/888cc81b13f9e2619bf4c958edd642341d82cd78,insert_ext.rs,8-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/c8502151edcb13f6974a1f99277738f5a26d5daa,operation.rs,0-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/e2e47e8df071661a9a9e7318acc723a1b9d1e689,doc_cache.rs,0-Impl
https://github.com/denoland/deno/commit/29df272133425ed5d9c54a584c60193fb3ad6086,isolate.rs,8-Impl
https://github.com/denoland/deno/commit/e63c53315450ed305752566f4c3ad2bb76c8b8a3,runtime.rs,1-Impl
https://github.com/firecracker-microvm/firecracker/commit/d289fc2ba07300dbc21f10ae8208637c12a664d2,main.rs,5-Fn
https://github.com/meilisearch/meilisearch/commit/7dbf5d63199832b14a80244699c75838ae321775,indexer.rs,1-Impl
https://github.com/meilisearch/meilisearch/commit/e3426d5b7a7269155288ae63e3863b9a2666f031,document_formats.rs,0-Fn
https://github.com/nushell/nushell/commit/5e177fe8e736bff679b6baf04a81a06d3cbd8a6d,de.rs,0-Impl
https://github.com/nushell/nushell/commit/ac578b8491ee82f6c80852db55a220d757458441,benchmark.rs,0-Impl
https://github.com/nushell/nushell/commit/c42b588782287fa84b636d02acbace8453f978fc,line_editor.rs,5-Fn
https://github.com/ogham/exa/commit/2fc56d45ca1074f3135f16e35f53646f8262191f,git.rs,1-Impl
https://github.com/rustdesk/rustdesk/commit/82d5924401d7439d1ce3ab5cf15e67f405b665e1,client.rs,1-Impl
https://github.com/SergioBenitez/Rocket/commit/ec9b5816a8bb17c85037e5319c1f7d5f2c5e0385,tests.rs,0-Fn
https://github.com/SergioBenitez/Rocket/commit/ec9b5816a8bb17c85037e5319c1f7d5f2c5e0385,main.rs,2-Fn
https://github.com/starship/starship/commit/876e7d36b1f16fb19401e11d02cb50e2e530845d,go.rs,2-Fn
https://github.com/swc-project/swc/commit/252804d2e34c192a3b5146915e752d3fa023980a,mod.rs,2-Impl
https://github.com/swc-project/swc/commit/b44da9dbe40b3000650303ec514d65bb24f75c3b,emitter.rs,3-Impl
https://github.com/swc-project/swc/commit/b44da9dbe40b3000650303ec514d65bb24f75c3b,expand.rs,0-Impl
https://github.com/swc-project/swc/commit/b44da9dbe40b3000650303ec514d65bb24f75c3b,enum_deserialize.rs,0-Fn
https://github.com/swc-project/swc/commit/c78baef2ccecaca76ca973f57c834e00a25154bb,swc.rs,0-Impl
https://github.com/tauri-apps/tauri/commit/85674d4fe6a2453ce969d6a75b6528f3c89bf1d1,deb_bundle.rs,6-Fn
https://github.com/tauri-apps/tauri/commit/85674d4fe6a2453ce969d6a75b6528f3c89bf1d1,ios_bundle.rs,1-Fn
https://github.com/tauri-apps/tauri/commit/a2d5929a8f1f6310d186199cc54246fcb0a01b46,dev.rs,1-Fn
https://github.com/tokio-rs/tokio/commit/08c21e7bac0c0163d236943aaa3c5738e4b5bc2e,threadpool.rs,11-Fn
https://github.com/tokio-rs/tokio/commit/8546ff826db8dba1e39b4119ad909fb6cab2492a,loom_pool.rs,1-Fn
https://github.com/tokio-rs/tokio/commit/8546ff826db8dba1e39b4119ad909fb6cab2492a,loom_pool.rs,5-Fn
https://github.com/tokio-rs/tokio/commit/99d4061203aa5dbf79b06352b06bc9818a293665,mpsc.rs,6-Fn
https://github.com/tokio-rs/tokio/commit/99d4061203aa5dbf79b06352b06bc9818a293665,mpsc.rs,3-Fn
https://github.com/tokio-rs/tokio/commit/99d4061203aa5dbf79b06352b06bc9818a293665,mpsc.rs,8-Fn
https://github.com/tokio-rs/tokio/commit/99d4061203aa5dbf79b06352b06bc9818a293665,signal.rs,1-Fn
https://github.com/xi-editor/xi-editor/commit/415b862facc0eae1d8d6ac80ad69a7f33188a31a,manager.rs,3-Impl
https://github.com/xi-editor/xi-editor/commit/52a37993b5c7c9cf6f9f5d7538ed14ef8b8c98c3,prefs.rs,2-Impl
https://github.com/yewstack/yew/commit/3963dc3dea436d1061515a7a4b34d2e7d8d297ba,lib.rs,1-Impl
https://github.com/yewstack/yew/commit/d38ce422f9f65f6a69d715d3207279c829d220e3,main.rs,1-Fn
