Commit,File,Scope
https://github.com/firecracker-microvm/firecracker/commit/d289fc2ba07300dbc21f10ae8208637c12a664d2,api_server_adapter.rs,0-Fn
https://github.com/nushell/nushell/commit/76079d518354922724ebb775e886d879fb4f7fee,csv.rs,0-Fn
https://github.com/nushell/nushell/commit/90b2ec537f3c2bcf16e4e9e4df1ba35700a2de0a,griddle.rs,0-Impl
https://github.com/nushell/nushell/commit/96ef478fbc3ecff3884dcb25ebaa9a357e56c531,docker.rs,1-Fn
https://github.com/ogham/exa/commit/755876e9b624d022ef6bbc6143d273eeb4e2e26e,git.rs,2-Impl
https://github.com/starship/starship/commit/56d475578ea508631275772127f49a6949fea6b0,git_branch.rs,13-Fn
https://github.com/starship/starship/commit/56d475578ea508631275772127f49a6949fea6b0,git_status.rs,23-Fn
https://github.com/starship/starship/commit/c4439531d35dfbed008a0dd519aa89bb67dcce24,print.rs,4-Fn
https://github.com/starship/starship/commit/f40f73dc8e26e6d8730344f4c6cbb47ee3d48342,golang.rs,0-Fn
https://github.com/starship/starship/commit/f40f73dc8e26e6d8730344f4c6cbb47ee3d48342,python.rs,0-Fn
https://github.com/tauri-apps/tauri/commit/24fa21c9b7e7bad21918c41efae807cc99376917,shell.rs,0-Impl
https://github.com/tauri-apps/tauri/commit/3953662b82625a26fcbe8521b3907902206bda56,runner.rs,3-Fn
https://github.com/tauri-apps/tauri/commit/6b67d06893cb3cdbc5f154559712550a04a43459,runner.rs,1-Fn
https://github.com/tauri-apps/tauri/commit/8fd1baf69b14bb81d7be9d31605ed7f02058b392,mod.rs,3-Fn
https://github.com/tokio-rs/tokio/commit/08c21e7bac0c0163d236943aaa3c5738e4b5bc2e,poll_evented.rs,14-Impl
https://github.com/yewstack/yew/commit/86a7b255e70aa8f4b74091916f94ff7beeb07b24,macros.rs,2-Fn
https://github.com/yewstack/yew/commit/86a7b255e70aa8f4b74091916f94ff7beeb07b24,vcomp.rs,6-Impl
