Commit,File,Scope
https://github.com/alacritty/alacritty/commit/06d213fbc760122e97fe64b57bd29a6e0d1a48f4,mod.rs,1-Struct
https://github.com/alacritty/alacritty/commit/20f319860908c2fa86bba25bb1e7bf8ba1a464e1,mod.rs,6-Struct
https://github.com/alacritty/alacritty/commit/3bd5ac221ab3b122962063edd1f4c10f9f2d117f,config.rs,2-Struct
https://github.com/alacritty/alacritty/commit/5b444375f22927c3661c331f3f37519940204bc0,mod.rs,1-Struct
https://github.com/alacritty/alacritty/commit/90552e3e7f8f085919a39435a8a68b3a2f633e54,gles2.rs,4-Struct
https://github.com/alacritty/alacritty/commit/e01317d88593af7874da13c2043aa53336fb2d73,storage.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/d78c33e1945c661965b386df0a492fbdbf7c6fc5,operation.rs,0-Struct
https://github.com/firecracker-microvm/firecracker/commit/1d44aebeccb2b89e20c15fa6e65a01bdc9a34ad6,logger.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/089579d835dbc46e85bbed7a95da1e007ff76214,option.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/2e3a765dacd53d1a5b9efbc5ca84ee75fa0c50a5,option.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/32843f30d973349122ec5a37469ee09e6002b6f3,options.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/4cdf680a8116d9aa36652d9c1c54caae1b1968a4,option.rs,2-Struct
https://github.com/meilisearch/meilisearch/commit/710b7ea091df54cfe275175450a4a44c21c79fc4,option.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/8e0d8f4533124da265b2c883bdd75a6ed66a4afd,option.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/991d8e1ec618b8e4aa7861041dfad182be4c7b52,mod.rs,1-Struct
https://github.com/meilisearch/meilisearch/commit/a87faa0db7423a9c873c6642276449d5f6d610c0,options.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/d7679904240fa5771c995cdd9ece72d3939c467c,updates.rs,2-Struct
https://github.com/meilisearch/meilisearch/commit/dc9ca2ebc99406a9422bdcbb1460d422f5b8523f,lib.rs,1-Struct
https://github.com/nushell/nushell/commit/57af9b5040c8b8f682a2ebdae4f6cfef48df9ad4,syntax_shape.rs,4-Struct
https://github.com/nushell/nushell/commit/6a7c00eaefc412dd049149b5b2dbe4aff55051ce,pipeline.rs,0-Struct
https://github.com/ogham/exa/commit/f8df02dae7f3cc4121c9bff2c33a584e449ceaa0,parser.rs,3-Struct
https://github.com/rust-lang/rust/commit/7907385999b4a83d37ed31d334f3ed9ca02983a1,ast.rs,33-Struct
https://github.com/rust-lang/rust/commit/8d7b124c1f8d3ed8784b5c1a092c5d8016f6935a,simplify_try.rs,1-Struct
https://github.com/SergioBenitez/Rocket/commit/63a14525d86595a8033715e3bdcd2bf2581eecb1,from_form.rs,12-Struct
https://github.com/SergioBenitez/Rocket/commit/7d5f7db9f45508dcaa8858662fad7d5e24d9b5dd,config.rs,0-Struct
https://github.com/SergioBenitez/Rocket/commit/9671115796e42865eaebd020ac27542802027b02,databases.rs,1-Struct
https://github.com/sharkdp/bat/commit/dd6f57e1073100ab0f85f272177efe9568550940,pager.rs,0-Struct
https://github.com/sharkdp/fd/commit/6b40a075cdf43a609fe9483e9c4cf531b27ab368,mod.rs,0-Struct
https://github.com/starship/starship/commit/bbdb584f45ddfe20a7f9b3aef665ce322f7db056,context.rs,0-Struct
https://github.com/starship/starship/commit/c335b4267b80d584ed8a5d0dc7cfe7bf0bf7a74b,context.rs,0-Struct
https://github.com/swc-project/swc/commit/04d66dbc8b8179300e69164bb9257e87cb887a03,mod.rs,5-Struct
https://github.com/swc-project/swc/commit/128175c3297e036ad38e8faa68aa149a94f5ee29,mod.rs,9-Struct
https://github.com/swc-project/swc/commit/1c1c9f0eaee4993d2a8e7c9714e3bab00123f14b,ctx.rs,0-Struct
https://github.com/swc-project/swc/commit/24c597f097235c9756a5d8d6e1e2bdf76b3261cb,mod.rs,1-Struct
https://github.com/swc-project/swc/commit/31c1bc8a8ab4ccd2f7e1b63ccb2bb87329df1389,lib.rs,0-Struct
https://github.com/swc-project/swc/commit/375cc5975afffae27a9a7d5f1403ffd1328fdda1,mod.rs,5-Struct
https://github.com/swc-project/swc/commit/40b8a4e596f0df33a325c93b75e5abab1336be11,compile.rs,0-Struct
https://github.com/swc-project/swc/commit/586ab0cf764d1192fd0d43173042d7788317f397,common.rs,3-Struct
