Commit,File,Scope
https://github.com/AppFlowy-IO/AppFlowy/commit/013d8f753aa84f91dec2cfcba568886d17d10a91,derive_cache.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/2b32f2111f533ede794e803d672687006e03c6f8,derive_cache.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/463cab6eee8fef44dc42ef36a71ac6350b910a93,derive_cache.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/4c93b04f3d22e4e772cc1fef0aaab149db9e311a,derive_cache.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/6579940dc8f3d9f385baf51c471a56672ca1a5e1,view_sql.rs,1-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/6b7557314c9010f94200ff849c3e607d681c10a8,response_http.rs,2-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/7cceafa432085689d64125182a748bbb4de4637d,proto_gen.rs,0-Impl
https://github.com/AppFlowy-IO/AppFlowy/commit/b79267d15c27175f5ee56cb8a9f47221178bf0fc,derive_cache.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/dd2cec28e43f4637db8fa1d0028a965b1c082f64,derive_cache.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/ef4c4180e2d517d74be7b727cebac2a85e825105,derive_cache.rs,0-Fn
https://github.com/AppFlowy-IO/AppFlowy/commit/f9bfe94a6b1f6cf69d72a11cfe79d503c04bfa49,derive_cache.rs,0-Fn
https://github.com/denoland/deno/commit/02d46bae9f60e8114af2a107c05d717be3a7e70d,file_fetcher.rs,0-Fn
https://github.com/firecracker-microvm/firecracker/commit/7f55bb656870ee16fc5e79e49f3d5f3bf6f18d26,main.rs,0-Impl
https://github.com/firecracker-microvm/firecracker/commit/af8a9af361c88b368679084051ecb569b22ffc2d,backend.rs,6-Impl
https://github.com/meilisearch/meilisearch/commit/47009615ee0ddbf6fe9d3b9903b1470ff81861c2,settings.rs,4-Impl
https://github.com/meilisearch/meilisearch/commit/bb5d931f160ac355e44b084d2ffc1f0b2a559edb,settings.rs,4-Impl
https://github.com/nushell/nushell/commit/7e184b58b2f9bc4249e97b07fed9ea766238c372,ansi.rs,1-Impl
https://github.com/nushell/nushell/commit/7e184b58b2f9bc4249e97b07fed9ea766238c372,error.rs,0-Impl
https://github.com/nushell/nushell/commit/f70c6d5d485a1d533fee15a7d5af6275b2e1ee96,tree.rs,0-Impl
https://github.com/ogham/exa/commit/70a30ed683ecc88304c6b2d66b6d34d61a1dd072,misfire.rs,0-Impl
https://github.com/ogham/exa/commit/70a30ed683ecc88304c6b2d66b6d34d61a1dd072,dir.rs,3-Impl
https://github.com/ogham/exa/commit/70a30ed683ecc88304c6b2d66b6d34d61a1dd072,filter.rs,2-Impl
https://github.com/ogham/exa/commit/70a30ed683ecc88304c6b2d66b6d34d61a1dd072,dir.rs,4-Impl
https://github.com/ogham/exa/commit/8046980806841a10571a497bcdc8dbf1c3c08c7a,colours.rs,9-Impl
https://github.com/rustdesk/rustdesk/commit/c6c5d2cb98d91e2fb0d5b7f1f94b4f1149ece0df,codec.rs,4-Impl
https://github.com/sharkdp/fd/commit/7213f5a88ecf860e0a08d34f8869a1fa6e99a346,exit_codes.rs,0-Impl
https://github.com/starship/starship/commit/c182572796d4388498059f7b0c104ec613b87f7d,utils.rs,2-Fn
https://github.com/starship/starship/commit/faba2d104d1eb54a445fd5e391e022ca514217d2,utils.rs,2-Fn
https://github.com/swc-project/swc/commit/252804d2e34c192a3b5146915e752d3fa023980a,mod.rs,2-Impl
https://github.com/swc-project/swc/commit/3359188a20f5bf458c4e4661c79886983d3cb89a,mod.rs,0-Fn
https://github.com/swc-project/swc/commit/4cf58528df1cd3d3ae9b44ac6cc874b2c8f0beb6,reducer.rs,1-Impl
https://github.com/swc-project/swc/commit/5ce4e1e9278c83a1b6f955da01f7ba3f62240883,fold.rs,0-Impl
https://github.com/swc-project/swc/commit/6896a83d5493d45f7fb1399d151449c8de24678f,semicolon.rs,0-Impl
https://github.com/swc-project/swc/commit/8cd903b3b006b823cc5d3a61d40a1311fc97276c,semicolon.rs,0-Impl
https://github.com/swc-project/swc/commit/9310c39fe922283b4bea46c30b08f8768cda577d,fold.rs,0-Impl
https://github.com/swc-project/swc/commit/aa8940c1b076e45b3a0d97bca7425c40ec2f2157,expand.rs,0-Impl
https://github.com/swc-project/swc/commit/b1e4122b0212e6c6ee371fe524a89c6e95c82121,opt_chaining.rs,0-Impl
https://github.com/swc-project/swc/commit/b1e4122b0212e6c6ee371fe524a89c6e95c82121,util.rs,4-Impl
https://github.com/xi-editor/xi-editor/commit/7cd12f4ef6fb94cc78c521a853bbca8821482454,lib.rs,6-Impl
https://github.com/xi-editor/xi-editor/commit/7cd12f4ef6fb94cc78c521a853bbca8821482454,lib.rs,2-Impl
https://github.com/yewstack/yew/commit/21a8228d55654f6afb25aa0a753cd72aac3bc045,fetch.rs,0-Impl
