Commit,File,Scope
https://github.com/alacritty/alacritty/commit/0c3e28617a95b4ca30ad9bdbb9114f1e4d41dce5,mod.rs,3-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/23900b49f50d3293b1624fb30e15996597a8ffb5,grid.rs,7-Struct
https://github.com/denoland/deno/commit/658ec2aaf9c7e0d0b4ded4e97a3d89dc2fa25806,compiler.rs,1-Struct
https://github.com/firecracker-microvm/firecracker/commit/baea2028821c838042a0bd221f675680d01a3a54,mod.rs,1-Struct
https://github.com/meilisearch/meilisearch/commit/86c3482cbd008a58d549a2efff2bc5842058b192,schema.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/b092a624eddeb176e6c1c68daf6c230a306f3002,update_handler.rs,0-Struct
https://github.com/nushell/nushell/commit/385bc40627fbcbe1b942b085ed214b0d6fb447cd,prompt.rs,0-Struct
https://github.com/nushell/nushell/commit/4d1ce6c27b980cc484e77a7169265283a73b911b,prompt.rs,0-Struct
https://github.com/nushell/nushell/commit/72e6222992bc1a5dea2c236f8b7499c6bf784e03,meta.rs,1-Struct
https://github.com/ogham/exa/commit/97236128ea28093aee95f6536598bbaf48a3263e,details.rs,2-Struct
https://github.com/starship/starship/commit/b2e2330cb05b64a87107c615d8c57fcf0b14ecf3,git_status.rs,1-Struct
https://github.com/swc-project/swc/commit/2211a9908a9a1c2e01d5f483ad91ac396336dc08,config.rs,3-Struct
https://github.com/swc-project/swc/commit/75a14f98b7370226115ee24eec6eb8c802bd4837,media.rs,0-Struct
https://github.com/swc-project/swc/commit/7e8f6132729ca3ddf7884f1b246964921cde1c35,terser.rs,0-Struct
https://github.com/swc-project/swc/commit/9793926cc8fc8110b2e4fcbe6c488b33d374a935,mod.rs,6-Struct
https://github.com/swc-project/swc/commit/ea610c6dede4f666db7a95bfa44787d8c4c3cbe8,prop.rs,3-Struct
https://github.com/tauri-apps/tauri/commit/8d630bc8c494cba6ac1604b7777b89b763044471,rust.rs,2-Struct
https://github.com/tauri-apps/tauri/commit/ac37b56ef43c9e97039967a5fd99f0d2dccb5b5a,lib.rs,22-Struct
https://github.com/tauri-apps/tauri/commit/dac1db39831ecbcf23c630351d5753af01ccd500,cmd.rs,4-Struct
https://github.com/tokio-rs/tokio/commit/466dd4a851122ab2c2b11bf44148887e359fd938,builder.rs,0-Struct
https://github.com/yewstack/yew/commit/a12a38f1e53c16ca097e014f6085d69367df6a92,html_component.rs,1-Struct
https://github.com/yewstack/yew/commit/d8c2550fc7d01f0cc3fa9b8d9d30059f32f7e703,component.rs,1-Struct
