Commit,File,Scope
https://github.com/alacritty/alacritty/commit/2434547fce7bf47a848f088f2600e8ba7027a62b,mod.rs,4-Struct
https://github.com/alacritty/alacritty/commit/3085b0b1376924c41184490a98eae21d884293d0,term.rs,0-Struct
https://github.com/alacritty/alacritty/commit/6265ef91d5496461fcd1025b21323982f3e47085,display.rs,0-Struct
https://github.com/alacritty/alacritty/commit/6265ef91d5496461fcd1025b21323982f3e47085,cli.rs,0-Struct
https://github.com/alacritty/alacritty/commit/66dbd29cd194a4c84f796f32827429895c2a3bba,event.rs,0-Struct
https://github.com/alacritty/alacritty/commit/81116fb8a4f91f28b5751827e7bcda22f6fcbaf0,cli.rs,0-Struct
https://github.com/alacritty/alacritty/commit/91aa683bcd060b2ac2f621a388a6448f564d0537,url.rs,1-Struct
https://github.com/alacritty/alacritty/commit/91aa683bcd060b2ac2f621a388a6448f564d0537,url.rs,0-Struct
https://github.com/alacritty/alacritty/commit/92e1cec0880313d962d80bf16eca60cebb509eab,mod.rs,4-Struct
https://github.com/alacritty/alacritty/commit/9a7844987693909925b8663d8aa905231d291410,mod.rs,1-Struct
https://github.com/alacritty/alacritty/commit/a81152cc43c12f4232be29798b85ba41fd9482cb,mod.rs,9-Struct
https://github.com/alacritty/alacritty/commit/b79574ee823900c21759628f92cf036271847afc,mod.rs,8-Struct
https://github.com/alacritty/alacritty/commit/bea6ece3f6e4f116e9f0319b6d0002943f28e3b8,mod.rs,5-Struct
https://github.com/alacritty/alacritty/commit/c54115516717d6fd429065158d81a93c0818fefa,event.rs,0-Struct
https://github.com/alacritty/alacritty/commit/d05d16f023b27fc4707478668db73d6860918956,mod.rs,8-Struct
https://github.com/alacritty/alacritty/commit/fbc7b7227171b41d96ca52df52e4cf1833f5fc6f,mod.rs,3-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/199fbd8873c28d5c78851b6afd3bfb029b0008e4,app_create.rs,3-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/222f6c7ba7e50ea6086ad3b380475e695d3ad659,event_ast.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/318d7e645640e4fa75cd5bbc9292757867bf9da6,grid.rs,5-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/3f83e7ee066c5516da459cfed6898c502b606cb4,trash_create.rs,3-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/6579940dc8f3d9f385baf51c471a56672ca1a5e1,script.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/909406bf08ef3f669d7b1205d16677102b69532e,sync.rs,1-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/c8502151edcb13f6974a1f99277738f5a26d5daa,iterator.rs,0-Struct
