Commit,File,Scope
https://github.com/alacritty/alacritty/commit/09ed64bd365bdb294a29e2e6b0149b0581a1fa81,mod.rs,5-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/152cb17701137ac461522581da9f336cd1803989,context.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/2513853ea440b3199b5d09c68f38fcc07e938059,trash_can.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/d27e2b947517c7496053b18fc0c9d04b913f07b3,builder.rs,2-Struct
https://github.com/denoland/deno/commit/4b7d3b060e88c02bc0ca12664f52111a4666b167,module_graph.rs,2-Struct
https://github.com/denoland/deno/commit/952caa79b32e6c249977281ed494d4b1f98ed451,documents.rs,1-Struct
https://github.com/denoland/deno/commit/ec7f1e399e1c1d74bf7af060a21010138de208df,runtime.rs,4-Struct
https://github.com/firecracker-microvm/firecracker/commit/1bad787e2efa1f3174f27b6e69f7a9e90c372475,mod.rs,0-Struct
https://github.com/firecracker-microvm/firecracker/commit/dc946b6b05e12d722958c51e33187cc09eda4c3e,mmds.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/686f9871806505151d9c624723a76c0570209187,search.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/c4dfd5f0c3707e968cd2192e33d4ae42f4b6ca0b,search.rs,2-Struct
https://github.com/meilisearch/meilisearch/commit/ed44e684ccc70062ff8514db98710f1f43a540b8,mod.rs,2-Struct
https://github.com/meilisearch/meilisearch/commit/ee675eadf13c65dc786fc1c1754d19f54917db1f,update_store.rs,2-Struct
https://github.com/nushell/nushell/commit/5537dce3cc5cf3d90f74c2661e206c602a4a0bfa,text.rs,0-Struct
https://github.com/nushell/nushell/commit/72daf8c64ec16991124ae001e143f2c1e42ec23f,engine_state.rs,1-Struct
https://github.com/nushell/nushell/commit/ac070ae942aaf8562058e5cc8ad287fb4bd2cb5b,fs.rs,2-Struct
https://github.com/ogham/exa/commit/4e49b91d2360c23a8ac959222f2d3e87409d8faa,dir.rs,1-Struct
https://github.com/SergioBenitez/Rocket/commit/26b7b814f4011f653851732439045cfe5ff183dd,catcher.rs,0-Struct
https://github.com/swc-project/swc/commit/08920189ba62cee4f836a417bffcef014e97becb,lib.rs,0-Struct
https://github.com/swc-project/swc/commit/fce3b79e790d855f26711a4eef9bd88e67b206fc,ops.rs,2-Struct
https://github.com/tauri-apps/tauri/commit/8263d4e5d6d0da1f514bc176589d4fef8be4d2fc,cli.rs,0-Struct
https://github.com/xi-editor/xi-editor/commit/b7466f591085ca36c8c66fce1a3618b81768b1ef,syntax.rs,2-Struct
https://github.com/yewstack/yew/commit/7e2542cbf83fb4ed16709200189eddd2e61cd0d0,html_block.rs,0-Struct
