Commit,File,Scope
https://github.com/alacritty/alacritty/commit/3bd5ac221ab3b122962063edd1f4c10f9f2d117f,window.rs,1-Struct
https://github.com/alacritty/alacritty/commit/3c61e075fef7b02ae0d043e4a4e664b8bc7221e9,mod.rs,2-Struct
https://github.com/alacritty/alacritty/commit/5e22512fe6a1a6a8e347c09bbc486408753bff95,mod.rs,5-Struct
https://github.com/alacritty/alacritty/commit/8126841ed37a9cc249f646b830b3d3d48aaf4ed7,grid.rs,0-Struct
https://github.com/alacritty/alacritty/commit/9a7844987693909925b8663d8aa905231d291410,colors.rs,0-Struct
https://github.com/alacritty/alacritty/commit/b82622e9948d1c90fc628739c7f328816214fb33,cli.rs,0-Struct
https://github.com/alacritty/alacritty/commit/b9ad0cfad30c6fd1328658d8195f552f24df6ff9,mod.rs,8-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/06967d805710a40599cf1e2bc1e1f0bb1879eaac,dart_event.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/09ef0927f7312e6e67c9d30a1deb55a978557bc0,cache.rs,1-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/2dd59305603dc150a7baf6fcf265c447e1bef818,row_builder.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/481f158a4ad6a596d14fd216c1f00a53213a0d20,document.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/5cf47e9f558f5f9fb8e22253fdf31fc89c423976,operation.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/6579940dc8f3d9f385baf51c471a56672ca1a5e1,grid_pad.rs,0-Struct
https://github.com/AppFlowy-IO/AppFlowy/commit/7730539278b256769bd2d884cbf6ad2a3534bb9b,model.rs,0-Struct
https://github.com/denoland/deno/commit/aeadf8189ae25d1b43f3c538a6c4aa6e5380c974,fs.rs,2-Struct
https://github.com/denoland/deno/commit/f57a2c1e85387afe48b7bdb57176dafb156bb86e,worker.rs,0-Struct
https://github.com/firecracker-microvm/firecracker/commit/0565c3e3d66993692b954f16ae1543b05766e70f,lib.rs,5-Struct
https://github.com/firecracker-microvm/firecracker/commit/0b8d0b9baaaa866dbdbd4ca4be469d41abf6b7dd,resources.rs,1-Struct
https://github.com/firecracker-microvm/firecracker/commit/2269bbe465da0d52aa576801adc65c977ef308e8,rtc_pl031.rs,0-Struct
https://github.com/firecracker-microvm/firecracker/commit/484e5e9bc463ce2cb67feee6855124c97b89e198,arg_parser.rs,0-Struct
https://github.com/firecracker-microvm/firecracker/commit/8f9ec61fcea45d81c561ec854d5622265dc7c595,metrics.rs,21-Struct
https://github.com/firecracker-microvm/firecracker/commit/96e0c1b01e58dd0eb01a97da5f0aa2b2f7745ebe,headers.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/9af0a08122e3558d90a0ac32fff63dcc7ba1a912,search.rs,1-Struct
https://github.com/meilisearch/meilisearch/commit/9eaf048a06e4d18e03b1cfce946c29305c9b9b22,stats.rs,0-Struct
https://github.com/meilisearch/meilisearch/commit/a45cc4b6189c2eb40758b9749c3d1c8b19b88d40,lib.rs,2-Struct
https://github.com/meilisearch/meilisearch/commit/cc5e884b3450d4f4ea17821d694a5e3b49f4c830,segment_analytics.rs,0-Struct
https://github.com/nushell/nushell/commit/56307553ae4acb684130831ceb8b8bc828eaa3dd,plugin.rs,0-Struct
https://github.com/nushell/nushell/commit/56adc7c3c6c8c011c2db9cdcf780d9213a925a8b,keybinding.rs,0-Struct
https://github.com/nushell/nushell/commit/57af9b5040c8b8f682a2ebdae4f6cfef48df9ad4,base.rs,0-Struct
https://github.com/nushell/nushell/commit/7efb31a4e4887a66c0ac4a13228ef904fd8de9e5,binary.rs,0-Struct
https://github.com/nushell/nushell/commit/ac578b8491ee82f6c80852db55a220d757458441,do_.rs,1-Struct
https://github.com/nushell/nushell/commit/daa2148136c8aa84e8c83e167de5511e18751689,mod.rs,0-Struct
https://github.com/nushell/nushell/commit/e4226def162012e7fafc3f74242cdf290ce19113,skip_while.rs,1-Struct
https://github.com/ogham/exa/commit/49ed3ed0f8fd84193d608d76914d189c9bb6b794,dir.rs,0-Struct
https://github.com/ogham/exa/commit/adbaa51cb9421df43625b96ea3ea39b455fd5ee4,file.rs,0-Struct
https://github.com/SergioBenitez/Rocket/commit/1e4db983e81bb68bc0fe4cbbc4f302e7a202f491,from_form.rs,28-Struct
https://github.com/SergioBenitez/Rocket/commit/1e5a1b89409feb827b0d1ee20525191d17ad5c13,data_stream.rs,0-Struct
https://github.com/SergioBenitez/Rocket/commit/55ea5dfb355f18596e22868262fe2114e6d28a88,from_form.rs,28-Struct
https://github.com/SergioBenitez/Rocket/commit/78e2f8a3c9ac61096b5f895a529106953a2f7ce9,form_field.rs,0-Struct
https://github.com/starship/starship/commit/09996159f4876477b46a9fc4bd91988ccb35ea47,custom.rs,3-Struct
https://github.com/starship/starship/commit/4de9e43cff46c834bd340d24a02fc95d85310a33,directory.rs,0-Struct
https://github.com/starship/starship/commit/f40f73dc8e26e6d8730344f4c6cbb47ee3d48342,module.rs,1-Struct
https://github.com/swc-project/swc/commit/097ff1ddc1675e1168b319da009221e345e2f4ea,mod.rs,1-Struct
https://github.com/swc-project/swc/commit/0f92eda0c78277d3de83ae85cf8a5c04e9c437bf,eqeqeq.rs,0-Struct
https://github.com/swc-project/swc/commit/2ad0af9e9182942aaf55b6aa2aa236e0baa14ce5,duplicate_keys.rs,0-Struct
https://github.com/swc-project/swc/commit/3521ce09e7a2c3168f17491196f6fbc835637380,mod.rs,2-Struct
https://github.com/swc-project/swc/commit/3b2b8c4512709b9908a113af83f30e4fa97b9c49,mod.rs,13-Struct
https://github.com/swc-project/swc/commit/4cf58528df1cd3d3ae9b44ac6cc874b2c8f0beb6,comment.rs,0-Struct
https://github.com/swc-project/swc/commit/641265b147da9478f5d205ddc0c7c16ed94b8676,stable_hasher.rs,0-Struct
https://github.com/swc-project/swc/commit/7f5bfdcc006749acd60cd2c6b6cc82b82f4c7aee,mod.rs,1-Struct
https://github.com/swc-project/swc/commit/7fe2245a3db25700b0d2e79026f3c751bcc38c3c,emitter.rs,0-Struct
https://github.com/swc-project/swc/commit/883c1ac4e4875c65b866aecdd122ca9514c62139,bundle.rs,2-Struct
https://github.com/swc-project/swc/commit/9a07869c21ba272306dcd0155409f7af9ad6393b,mod.rs,1-Struct
https://github.com/swc-project/swc/commit/9c998d4406fe641198092074d3ee3a859fc7b97e,fixer.rs,0-Struct
https://github.com/swc-project/swc/commit/9eafd0c6c41f86c5244f7346ab22382212b7c1c4,mod.rs,9-Struct
https://github.com/swc-project/swc/commit/a1629d39979e15fa74c2caac409d423fcf3676ad,mod.rs,0-Struct
https://github.com/swc-project/swc/commit/c84bf133a6ffce311548170cb9c4b0edb9804478,base.rs,1-Struct
https://github.com/swc-project/swc/commit/cf1235ece10ec889aac6eddc49b879e2c44f4e80,mod.rs,1-Struct
https://github.com/swc-project/swc/commit/d975a197c906ba90485b6180ddcaf230f39170e0,minify.rs,0-Struct
https://github.com/swc-project/swc/commit/e2fde1a9a7ea702439666fdee6b2a378e70d9a7e,typescript.rs,5-Struct
https://github.com/swc-project/swc/commit/eb2a2a7f156dab5c87ab7f828d98a8dc9efd78c5,lib.rs,0-Struct
https://github.com/tauri-apps/tauri/commit/17c7c4396ff2d5e13fc8726c2965b4e810fad6b9,manifest.rs,0-Struct
https://github.com/tauri-apps/tauri/commit/6ec54c53b504eec3873d326b1a45e450227d46ed,config.rs,11-Struct
https://github.com/tauri-apps/tauri/commit/a8160224b7995044e31e7a3d666d503f457f11fd,settings.rs,5-Struct
https://github.com/tauri-apps/tauri/commit/e97846aae933cad5cba284a2a133ae7aaee1107c,config.rs,11-Struct
https://github.com/tokio-rs/tokio/commit/2eabc37599de93e2fe710608f8cfeec9fce0053e,tcp.rs,0-Struct
https://github.com/tokio-rs/tokio/commit/66cff8e84b0bdbdc716fe1cd715363aa7e79aefa,timeout.rs,0-Struct
https://github.com/tokio-rs/tokio/commit/a8500632113a527780fb9c756e3d8b8a85d0f754,registration.rs,1-Struct
